ticket_id,ticket_text,team
TKT70000,My account is too high can you explain,Billing
TKT70001,My bill shows extra charges again,Billing
TKT70002,My replacement SIM is not activating on my phone,SIM_Activation
TKT70003,Please help me change my package this month,Plan_Change
TKT70004,I want to get more data please,Plan_Change
TKT70005,My new SIM shows no service on my phone,SIM_Activation
TKT70006,How do I downgrade to save money for the National Day offer,Plan_Change
TKT70007,My internet is very slow,Network
TKT70008,The invoice shows extra charges I need a refund,Billing
TKT70009,My internet is not working since morning,Network
TKT70010,My last payment is too high,Billing
TKT70011,How do I upgrade my plan,Plan_Change
TKT70012,My internet is not working in my home,Network
TKT70013,My new number shows no service please help,SIM_Activation
TKT70014,My data has no coverage,Network
TKT70015,My new number failed to activate on my phone,SIM_Activation
TKT70016,I want to get more data for the National Day offer,Plan_Change
TKT70017,My bill is wrong can you explain,Billing
TKT70018,The network is not working in Nizwa,Network
TKT70019,The eSIM shows no service,SIM_Activation
TKT70020,The invoice was taken twice this month,Billing
TKT70021,The invoice shows extra charges,Billing
TKT70022,Calls is very slow all day,Network
TKT70023,My bill is incorrect please check,Billing
TKT70024,I want to downgrade to save money,Plan_Change
TKT70025,My data is not working all day,Network
TKT70026,My last payment shows extra charges I need a refund,Billing
TKT70027,Calls has no coverage since morning,Network
TKT70028,The eSIM will not register please help,SIM_Activation
TKT70029,My new number will not register,SIM_Activation
TKT70030,My data is weak,Network
TKT70031,Please help me switch to postpaid please,Plan_Change
TKT70032,My account is too high this month,Billing
TKT70033,My bill is too high again,Billing
TKT70034,The invoice shows extra charges again,Billing
TKT70035,My internet keeps dropping in Sohar,Network
TKT70036,The connection has no coverage,Network
TKT70037,How do I downgrade to save money please,Plan_Change
TKT70038,The QR code is not activating,SIM_Activation
TKT70039,I changed my plan but now the internet does not work,Network
TKT70040,The network has no coverage since morning,Network
TKT70041,The signal is weak,Network
TKT70042,My internet keeps dropping,Network
TKT70043,The charge shows extra charges can you explain,Billing
TKT70044,How do I upgrade my plan for the National Day offer,Plan_Change
TKT70045,The connection is not working all day,Network
TKT70046,How do I upgrade my plan this month,Plan_Change
TKT70047,My account shows extra charges can you explain,Billing
TKT70048,I want to switch to postpaid for the National Day offer,Plan_Change
TKT70049,How do I switch to postpaid for the National Day offer,Plan_Change
TKT70050,Please help me upgrade my plan this month,Plan_Change
TKT70051,The connection keeps dropping since morning,Network
TKT70052,My replacement SIM is not activating how long does it take,SIM_Activation
TKT70053,My data has no coverage in my home,Network
TKT70054,My bill is incorrect I need a refund,Billing
TKT70055,Calls keeps dropping today,Network
TKT70056,The QR code failed to activate how long does it take,SIM_Activation
TKT70057,My replacement SIM will not register how long does it take,SIM_Activation
TKT70058,The QR code failed to activate,SIM_Activation
TKT70059,Can I switch to postpaid for the National Day offer,Plan_Change
TKT70060,My new SIM is not activating please help,SIM_Activation
TKT70061,My data has no coverage today,Network
TKT70062,The QR code shows no service how long does it take,SIM_Activation
